MZ	Intensity
-114.86251	747
-114.77627	757
-114.68988	751
-114.60331	767
-114.51658	749
-114.42969	770
-114.34263	755
-114.25540	757
-114.16801	768
-114.08046	759
-113.99274	772
-113.90485	765
-113.81680	762
-113.72858	762
-113.64020	753
-113.55165	762
-113.46294	758
-113.37406	745
-113.28502	734
-113.19581	747
-113.10644	740
-113.01690	733
-112.92719	732
-112.83732	727
-112.74729	730
-112.65709	713
-112.56672	701
-112.47619	707
-112.38549	697
-112.29463	692
-112.20360	702
-112.11241	687
-112.02105	685
-111.92953	686
-111.83784	692
-111.74599	688
-111.65397	682
-111.56178	695
-111.46943	681
-111.37692	701
-111.28424	694
-111.19139	696
-111.09838	695
-111.00520	709
-110.91186	709
-110.81835	716
-110.72468	713
-110.63084	715
-110.53684	719
-110.44267	731
-110.34834	746
-110.25384	752
-110.15917	777
-110.06434	803
-109.96935	824
-109.87419	845
-109.77886	866
-109.68337	907
-109.58772	920
-109.49189	923
-109.39591	972
-109.29975	1033
-109.20344	1166
-109.10695	1448
-109.01030	1877
-108.91349	2253
-108.81651	2770
-108.71937	3273
-108.62206	3612
-108.52458	3872
-108.42694	3991
-108.32914	3983
-108.23117	3793
-108.13303	3546
-108.03473	3148
-107.93626	2800
-107.83763	2488
-107.73883	2281
-107.63987	2044
-107.54074	1852
-107.44144	1647
-107.34199	1615
-107.24236	1529
-107.14257	1499
-107.04262	1384
-106.94250	1323
-106.84221	1271
-106.74176	1230
-106.64114	1207
-106.54036	1168
-106.43942	1158
-106.33830	1154
-106.23703	1139
-106.13558	1127
-106.03397	1113
-105.93220	1146
-105.83026	1401
-105.72816	1665
-105.62589	1749
-105.52345	2454
-105.42085	3989
-105.31809	5055
-105.21516	5035
-105.11206	4450
-105.00880	4075
-104.90537	3687
-104.80178	3092
-104.69802	2577
-104.59410	2201
-104.49001	1905
-104.38576	1747
-104.28134	1605
-104.17676	1548
-104.07201	1535
-103.96709	1611
-103.86201	1571
-103.75677	1538
-103.65135	1476
-103.54578	1422
-103.44004	1432
-103.33413	1364
-103.22806	1300
-103.12182	1277
-103.01542	1251
-102.90885	1229
-102.80212	1226
-102.69522	1219
-102.58815	1184
-102.48093	1192
-102.37353	1156
-102.26597	1138
-102.15825	1176
-102.05035	1157
-101.94230	1114
-101.83408	1119
-101.72569	1117
-101.61714	1084
-101.50842	1089
-101.39954	1068
-101.29049	1070
-101.18128	1067
-101.07190	1063
-100.96236	1054
-100.85265	1067
-100.74277	1056
-100.63273	1037
-100.52253	1037
-100.41216	1035
-100.30162	1026
-100.19092	1035
-100.08005	1017
-99.96902	1041
-99.85782	1047
-99.74646	1085
-99.63493	1077
-99.52324	1191
-99.41138	1783
-99.29936	2467
-99.18717	2307
-99.07481	1787
-98.96229	1595
-98.84961	1612
-98.73676	1788
-98.62374	1863
-98.51056	1928
-98.39722	1970
-98.28370	2079
-98.17003	2210
-98.05618	2425
-97.94218	2554
-97.82800	2627
-97.71366	2773
-97.59916	2857
-97.48449	3016
-97.36966	3128
-97.25466	3186
-97.13949	3280
-97.02416	3312
-96.90867	3404
-96.79301	3404
-96.67718	3401
-96.56119	3420
-96.44503	3316
-96.32871	3270
-96.21222	3140
-96.09557	2979
-95.97875	2910
-95.86177	2848
-95.74462	2792
-95.62730	2644
-95.50982	2608
-95.39218	2477
-95.27437	2401
-95.15639	2304
-95.03825	2179
-94.91995	2110
-94.80147	2062
-94.68284	2049
-94.56404	2025
-94.44507	2122
-94.32594	2173
-94.20664	2215
-94.08717	2258
-93.96754	2350
-93.84775	2465
-93.72779	2553
-93.60767	2704
-93.48738	2867
-93.36692	3088
-93.24630	3318
-93.12551	3582
-93.00456	3861
-92.88345	4256
-92.76216	4480
-92.64072	4562
-92.51910	4573
-92.39733	4363
-92.27538	4299
-92.15327	4147
-92.03100	3877
-91.90856	3608
-91.78596	3272
-91.66319	3149
-91.54025	3080
-91.41715	3022
-91.29388	3182
-91.17045	3555
-91.04686	4075
-90.92309	4378
-90.79917	4624
-90.67507	5301
-90.55082	6607
-90.42639	7707
-90.30180	7953
-90.17705	8424
-90.05213	9116
-89.92705	9291
-89.80180	8783
-89.67638	8341
-89.55080	7761
-89.42505	7094
-89.29914	6399
-89.17307	6045
-89.04682	5886
-88.92042	6460
-88.79384	8100
-88.66711	9653
-88.54020	10033
-88.41314	9754
-88.28590	9086
-88.15850	8196
-88.03094	7142
-87.90321	6044
-87.77531	5351
-87.64725	4769
-87.51903	4247
-87.39064	3989
-87.26208	3637
-87.13336	3464
-87.00447	3319
-86.87542	3133
-86.74620	3048
-86.61682	2944
-86.48727	2770
-86.35755	2695
-86.22768	2691
-86.09763	2629
-85.96742	2647
-85.83705	2621
-85.70651	2600
-85.57580	2539
-85.44493	2476
-85.31389	2422
-85.18269	2362
-85.05132	2276
-84.91979	2247
-84.78809	2232
-84.65623	2294
-84.52420	2249
-84.39201	2318
-84.25965	2316
-84.12713	2377
-83.99444	2320
-83.86158	2310
-83.72856	2287
-83.59538	2215
-83.46203	2163
-83.32851	2085
-83.19483	2027
-83.06098	1999
-82.92697	2020
-82.79279	1998
-82.65845	1992
-82.52394	1978
-82.38927	1962
-82.25443	1941
-82.11942	1944
-81.98425	1981
-81.84892	1989
-81.71342	1993
-81.57775	2050
-81.44192	2150
-81.30593	2296
-81.16977	2270
-81.03344	2368
-80.89695	2406
-80.76029	2452
-80.62347	2341
-80.48648	2437
-80.34932	2907
-80.21201	3776
-80.07452	4536
-79.93687	4896
-79.79906	10006
-79.66108	14797
-79.52293	15833
-79.38462	15573
-79.24615	14535
-79.10750	13408
-78.96870	12669
-78.82973	12149
-78.69059	11995
-78.55129	11934
-78.41182	12167
-78.27218	12590
-78.13239	13125
-77.99242	13437
-77.85229	13509
-77.71200	13491
-77.57154	13256
-77.43091	13281
-77.29012	13369
-77.14917	13689
-77.00804	13557
-76.86676	13210
-76.72531	12934
-76.58369	13132
-76.44191	13041
-76.29996	12813
-76.15785	12509
-76.01557	12404
-75.87312	12222
-75.73051	12023
-75.58774	11855
-75.44480	11733
-75.30169	11804
-75.15842	12061
-75.01499	12287
-74.87139	12036
-74.72762	11540
-74.58369	11134
-74.43959	10954
-74.29533	10791
-74.15090	10523
-74.00631	10349
-73.86155	10292
-73.71663	10194
-73.57154	10225
-73.42628	10291
-73.28086	10281
-73.13528	10346
-72.98953	10211
-72.84361	10156
-72.69753	10122
-72.55128	10684
-72.40487	12188
-72.25830	13239
-72.11155	13370
-71.96465	12986
-71.81757	12420
-71.67033	12243
-71.52293	11969
-71.37536	11896
-71.22763	12086
-71.07973	12074
-70.93166	12075
-70.78343	12056
-70.63504	12015
-70.48648	11678
-70.33775	11520
-70.18886	11343
-70.03980	11180
-69.89058	10953
-69.74119	10550
-69.59164	10448
-69.44192	10308
-69.29204	10058
-69.14199	9732
-68.99177	9516
-68.84139	9349
-68.69085	9025
-68.54014	8742
-68.38926	8394
-68.23822	8089
-68.08702	7763
-67.93565	7625
-67.78411	7483
-67.63241	7342
-67.48054	7048
-67.32851	6992
-67.17631	6938
-67.02394	7070
-66.87142	7147
-66.71872	6889
-66.56586	6797
-66.41284	6657
-66.25965	6520
-66.10629	6398
-65.95277	6394
-65.79909	6285
-65.64523	6279
-65.49122	6140
-65.33703	6262
-65.18269	6568
-65.02817	7133
-64.87350	7622
-64.71865	8509
-64.56364	9293
-64.40847	9702
-64.25313	9994
-64.09763	10222
-63.94196	10593
-63.78612	11228
-63.63012	11754
-63.47396	12009
-63.31762	11987
-63.16113	11924
-63.00447	11719
-62.84764	11444
-62.69065	11134
-62.53349	11064
-62.37616	11026
-62.21868	10895
-62.06102	10670
-61.90320	10685
-61.74522	11003
-61.58707	11427
-61.42875	11940
-61.27027	12205
-61.11163	12371
-60.95282	12362
-60.79384	12222
-60.63470	11936
-60.47539	11810
-60.31592	11455
-60.15628	11225
-59.99648	11031
-59.83651	10807
-59.67637	10556
-59.51608	10478
-59.35561	10560
-59.19498	10769
-59.03419	11187
-58.87323	11519
-58.71210	12059
-58.55081	12272
-58.38935	12560
-58.22773	13150
-58.06594	13624
-57.90399	13783
-57.74187	13813
-57.57959	13961
-57.41714	13920
-57.25453	13437
-57.09175	12894
-56.92881	12363
-56.76570	11902
-56.60242	11641
-56.43898	11298
-56.27537	11074
-56.11160	10816
-55.94767	10325
-55.78357	10103
-55.61930	10068
-55.45487	10003
-55.29027	10037
-55.12551	9890
-54.96058	9995
-54.79548	10955
-54.63023	11997
-54.46480	12281
-54.29921	11740
-54.13346	11005
-53.96754	10330
-53.80145	9692
-53.63520	9302
-53.46878	8955
-53.30220	8595
-53.13546	8375
-52.96854	8176
-52.80147	7949
-52.63422	7846
-52.46682	7611
-52.29924	7489
-52.13150	7381
-51.96360	7316
-51.79553	7248
-51.62729	7169
-51.45889	7164
-51.29033	7105
-51.12160	7272
-50.95270	7377
-50.78364	7551
-50.61441	7701
-50.44502	7940
-50.27546	8176
-50.10574	8506
-49.93585	8680
-49.76580	8881
-49.59558	9279
-49.42520	9781
-49.25465	10071
-49.08393	10233
-48.91305	10015
-48.74201	9933
-48.57080	9906
-48.39942	9778
-48.22788	9886
-48.05617	9884
-47.88430	10031
-47.71226	10406
-47.54006	11195
-47.36769	11961
-47.19516	12388
-47.02246	12443
-46.84960	12373
-46.67657	12131
-46.50337	11883
-46.33001	11710
-46.15649	11720
-45.98280	11810
-45.80894	11706
-45.63492	11806
-45.46074	11782
-45.28638	11761
-45.11187	11905
-44.93718	12028
-44.76234	12112
-44.58732	12250
-44.41214	12013
-44.23680	11747
-44.06129	11424
-43.88562	11237
-43.70978	11214
-43.53377	11161
-43.35760	11155
-43.18127	11165
-43.00476	11229
-42.82810	11416
-42.65127	11467
-42.47427	11529
-42.29711	11465
-42.11978	11448
-41.94229	11408
-41.76463	11399
-41.58680	11155
-41.40882	10794
-41.23066	10436
-41.05234	10072
-40.87386	10121
-40.69521	10100
-40.51639	10054
-40.33741	9984
-40.15826	9815
-39.97895	9783
-39.79947	10361
-39.61983	11070
-39.44002	11543
-39.26005	11618
-39.07991	11279
-38.89961	11088
-38.71914	11052
-38.53851	10605
-38.35771	9963
-38.17674	9660
-37.99561	9373
-37.81432	9053
-37.63286	8863
-37.45123	9301
-37.26944	9761
-37.08748	9824
-36.90536	9558
-36.72307	9124
-36.54062	8823
-36.35800	8624
-36.17522	8602
-35.99227	8699
-35.80915	8787
-35.62587	8975
-35.44243	9324
-35.25882	9580
-35.07504	9987
-34.89110	10703
-34.70700	11484
-34.52273	12016
-34.33829	11988
-34.15369	11775
-33.96892	11434
-33.78399	11311
-33.59889	11363
-33.41362	11686
-33.22820	11794
-33.04260	11995
-32.85684	11990
-32.67092	11926
-32.48483	11909
-32.29857	12093
-32.11215	12153
-31.92557	12166
-31.73881	11980
-31.55190	11856
-31.36482	11976
-31.17757	12145
-30.99016	12187
-30.80258	12165
-30.61483	12098
-30.42693	12037
-30.23885	11914
-30.05061	11728
-29.86221	11726
-29.67364	11810
-29.48490	11623
-29.29600	11479
-29.10694	11436
-28.91771	11318
-28.72831	11319
-28.53875	11435
-28.34902	11328
-28.15913	11190
-27.96907	11111
-27.77885	11106
-27.58846	11057
-27.39790	10876
-27.20718	11045
-27.01630	11197
-26.82525	11201
-26.63404	11001
-26.44265	10932
-26.25111	10766
-26.05940	10642
-25.86752	10444
-25.67548	10315
-25.48327	9999
-25.29090	9666
-25.09836	9549
-24.90566	9823
-24.71279	10143
-24.51976	10310
-24.32656	10581
-24.13319	10371
-23.93966	10441
-23.74597	11045
-23.55211	11439
-23.35808	11454
-23.16389	11254
-22.96954	10781
-22.77501	10321
-22.58033	10182
-22.38547	10149
-22.19046	10337
-21.99527	10513
-21.79993	10835
-21.60441	12370
-21.40873	13740
-21.21289	14370
-21.01688	14591
-20.82070	14542
-20.62436	14001
-20.42786	13644
-20.23119	13451
-20.03435	13489
-19.83735	13443
-19.64018	13033
-19.44285	12723
-19.24535	12430
-19.04769	12251
-18.84986	12200
-18.65187	12166
-18.45371	12098
-18.25539	11949
-18.05690	11845
-17.85824	11846
-17.65942	11832
-17.46044	11965
-17.26128	12138
-17.06197	12088
-16.86249	12172
-16.66284	12026
-16.46303	12160
-16.26305	12173
-16.06291	12181
-15.86260	12237
-15.66213	12291
-15.46149	12424
-15.26068	12439
-15.05971	12456
-14.85858	12495
-14.65728	12427
-14.45581	12326
-14.25418	12233
-14.05239	12167
-13.85043	12130
-13.64830	12181
-13.44601	12218
-13.24355	12155
-13.04093	12144
-12.83814	12115
-12.63519	12129
-12.43207	12159
-12.22878	12020
-12.02533	11769
-11.82172	11702
-11.61794	11640
-11.41399	11616
-11.20988	11559
-11.00561	11495
-10.80117	11304
-10.59656	11250
-10.39179	11263
-10.18685	11250
-9.98175	11163
-9.77648	11013
-9.57105	10841
-9.36545	10670
-9.15968	10817
-8.95376	11336
-8.74766	11592
-8.54140	11671
-8.33498	11415
-8.12839	10972
-7.92163	10812
-7.71471	10726
-7.50762	10578
-7.30037	10402
-7.09295	10227
-6.88537	9980
-6.67762	9958
-6.46971	10054
-6.26163	10016
-6.05339	9991
-5.84498	9966
-5.63640	10198
-5.42766	10580
-5.21876	11056
-5.00969	11346
-4.80045	12308
-4.59105	14370
-4.38149	15420
-4.17175	15968
-3.96186	16178
-3.75179	15985
-3.54157	15728
-3.33117	15321
-3.12062	15016
-2.90989	14724
-2.69900	14482
-2.48795	14156
-2.27673	13893
-2.06534	13719
-1.85379	13500
-1.64208	13273
-1.43020	12955
-1.21815	12727
-1.00594	12685
-0.79356	12625
-0.58102	12414
-0.36831	12398
-0.15544	12322
0.05760	12330
0.27080	12145
0.48417	12143
0.69770	12243
0.91140	12200
1.12527	12137
1.33930	12160
1.55349	12203
1.76786	12305
1.98238	12415
2.19707	12459
2.41193	12419
2.62695	12328
2.84214	12312
3.05749	12250
3.27301	12213
3.48869	12082
3.70454	11985
3.92056	11946
4.13674	11952
4.35308	11833
4.56959	11953
4.78627	12007
