MZ	Intensity
-114.86251	741
-114.77627	775
-114.68988	747
-114.60331	777
-114.51658	753
-114.42969	771
-114.34263	756
-114.25540	759
-114.16801	770
-114.08046	764
-113.99274	768
-113.90485	755
-113.81680	770
-113.72858	762
-113.64020	756
-113.55165	748
-113.46294	761
-113.37406	751
-113.28502	742
-113.19581	737
-113.10644	749
-113.01690	731
-112.92719	736
-112.83732	730
-112.74729	725
-112.65709	717
-112.56672	719
-112.47619	724
-112.38549	706
-112.29463	717
-112.20360	718
-112.11241	710
-112.02105	707
-111.92953	694
-111.83784	700
-111.74599	703
-111.65397	703
-111.56178	717
-111.46943	696
-111.37692	725
-111.28424	722
-111.19139	750
-111.09838	738
-111.00520	770
-110.91186	796
-110.81835	774
-110.72468	794
-110.63084	783
-110.53684	783
-110.44267	779
-110.34834	816
-110.25384	839
-110.15917	866
-110.06434	940
-109.96935	997
-109.87419	1059
-109.77886	1117
-109.68337	1239
-109.58772	1277
-109.49189	1370
-109.39591	1391
-109.29975	1537
-109.20344	1817
-109.10695	2369
-109.01030	3374
-108.91349	4656
-108.81651	5994
-108.71937	7382
-108.62206	8429
-108.52458	9447
-108.42694	9812
-108.32914	9847
-108.23117	9631
-108.13303	8997
-108.03473	8360
-107.93626	7410
-107.83763	6526
-107.73883	5567
-107.63987	4869
-107.54074	4283
-107.44144	3709
-107.34199	3399
-107.24236	3159
-107.14257	2984
-107.04262	2754
-106.94250	2515
-106.84221	2410
-106.74176	2210
-106.64114	2067
-106.54036	1960
-106.43942	1855
-106.33830	1793
-106.23703	1774
-106.13558	1795
-106.03397	1743
-105.93220	1776
-105.83026	1997
-105.72816	2305
-105.62589	2516
-105.52345	3535
-105.42085	6015
-105.31809	7352
-105.21516	7483
-105.11206	7110
-105.00880	6446
-104.90537	5621
-104.80178	4823
-104.69802	4078
-104.59410	3481
-104.49001	2982
-104.38576	2621
-104.28134	2394
-104.17676	2280
-104.07201	2342
-103.96709	2362
-103.86201	2413
-103.75677	2286
-103.65135	2264
-103.54578	2178
-103.44004	2139
-103.33413	2021
-103.22806	1964
-103.12182	1891
-103.01542	1808
-102.90885	1794
-102.80212	1779
-102.69522	1737
-102.58815	1712
-102.48093	1699
-102.37353	1639
-102.26597	1645
-102.15825	1664
-102.05035	1607
-101.94230	1584
-101.83408	1509
-101.72569	1548
-101.61714	1493
-101.50842	1487
-101.39954	1452
-101.29049	1452
-101.18128	1416
-101.07190	1413
-100.96236	1412
-100.85265	1388
-100.74277	1356
-100.63273	1342
-100.52253	1371
-100.41216	1326
-100.30162	1330
-100.19092	1323
-100.08005	1338
-99.96902	1324
-99.85782	1336
-99.74646	1361
-99.63493	1370
-99.52324	1474
-99.41138	1972
-99.29936	2609
-99.18717	2479
-99.07481	2089
-98.96229	1903
-98.84961	2015
-98.73676	2201
-98.62374	2353
-98.51056	2424
-98.39722	2547
-98.28370	2547
-98.17003	2665
-98.05618	2744
-97.94218	2942
-97.82800	2995
-97.71366	3057
-97.59916	3208
-97.48449	3318
-97.36966	3343
-97.25466	3407
-97.13949	3368
-97.02416	3390
-96.90867	3319
-96.79301	3292
-96.67718	3317
-96.56119	3391
-96.44503	3277
-96.32871	3248
-96.21222	3265
-96.09557	3084
-95.97875	3035
-95.86177	2986
-95.74462	2972
-95.62730	2801
-95.50982	2732
-95.39218	2610
-95.27437	2607
-95.15639	2516
-95.03825	2516
-94.91995	2455
-94.80147	2487
-94.68284	2589
-94.56404	2650
-94.44507	2822
-94.32594	3049
-94.20664	3347
-94.08717	3729
-93.96754	4078
-93.84775	4386
-93.72779	4694
-93.60767	5137
-93.48738	5542
-93.36692	6008
-93.24630	6520
-93.12551	7539
-93.00456	8700
-92.88345	9765
-92.76216	10149
-92.64072	10350
-92.51910	10391
-92.39733	10051
-92.27538	9823
-92.15327	9455
-92.03100	8780
-91.90856	8177
-91.78596	7476
-91.66319	7012
-91.54025	6716
-91.41715	6545
-91.29388	6605
-91.17045	7087
-91.04686	7759
-90.92309	8485
-90.79917	9174
-90.67507	10136
-90.55082	11364
-90.42639	12329
-90.30180	12851
-90.17705	13285
-90.05213	13685
-89.92705	13639
-89.80180	13597
-89.67638	13255
-89.55080	12873
-89.42505	12471
-89.29914	12122
-89.17307	11555
-89.04682	11145
-88.92042	11484
-88.79384	12391
-88.66711	13288
-88.54020	13572
-88.41314	13374
-88.28590	13009
-88.15850	12418
-88.03094	11847
-87.90321	10939
-87.77531	10315
-87.64725	9670
-87.51903	9045
-87.39064	8456
-87.26208	7752
-87.13336	7111
-87.00447	6557
-86.87542	6362
-86.74620	6078
-86.61682	5829
-86.48727	5432
-86.35755	5307
-86.22768	5241
-86.09763	5041
-85.96742	4983
-85.83705	5012
-85.70651	4794
-85.57580	4786
-85.44493	4658
-85.31389	4538
-85.18269	4212
-85.05132	4163
-84.91979	4060
-84.78809	4043
-84.65623	4065
-84.52420	4028
-84.39201	4127
-84.25965	4144
-84.12713	4158
-83.99444	4162
-83.86158	4099
-83.72856	3919
-83.59538	3751
-83.46203	3609
-83.32851	3487
-83.19483	3362
-83.06098	3403
-82.92697	3354
-82.79279	3364
-82.65845	3308
-82.52394	3255
-82.38927	3240
-82.25443	3261
-82.11942	3257
-81.98425	3302
-81.84892	3385
-81.71342	3482
-81.57775	3586
-81.44192	3843
-81.30593	3939
-81.16977	4118
-81.03344	4211
-80.89695	4092
-80.76029	4109
-80.62347	4016
-80.48648	4207
-80.34932	4710
-80.21201	5580
-80.07452	6340
-79.93687	6864
-79.79906	10266
-79.66108	13834
-79.52293	15050
-79.38462	14911
-79.24615	14032
-79.10750	13389
-78.96870	13371
-78.82973	13361
-78.69059	13377
-78.55129	13457
-78.41182	13735
-78.27218	14259
-78.13239	14702
-77.99242	14697
-77.85229	14714
-77.71200	14695
-77.57154	14712
-77.43091	14680
-77.29012	14678
-77.14917	14675
-77.00804	14495
-76.86676	14356
-76.72531	14298
-76.58369	14459
-76.44191	14331
-76.29996	14272
-76.15785	14137
-76.01557	14050
-75.87312	13876
-75.73051	13753
-75.58774	13736
-75.44480	13722
-75.30169	13691
-75.15842	14043
-75.01499	14241
-74.87139	13971
-74.72762	13748
-74.58369	13555
-74.43959	13334
-74.29533	13266
-74.15090	13300
-74.00631	13268
-73.86155	13189
-73.71663	13355
-73.57154	13470
-73.42628	13409
-73.28086	13579
-73.13528	13485
-72.98953	13562
-72.84361	13653
-72.69753	13500
-72.55128	13681
-72.40487	14403
-72.25830	14963
-72.11155	15071
-71.96465	14857
-71.81757	14685
-71.67033	14567
-71.52293	14520
-71.37536	14551
-71.22763	14560
-71.07973	14661
-70.93166	14771
-70.78343	14774
-70.63504	14717
-70.48648	14689
-70.33775	14719
-70.18886	14660
-70.03980	14508
-69.89058	14392
-69.74119	14338
-69.59164	14161
-69.44192	14091
-69.29204	13999
-69.14199	13898
-68.99177	13697
-68.84139	13506
-68.69085	13210
-68.54014	12914
-68.38926	12497
-68.23822	12222
-68.08702	11859
-67.93565	11418
-67.78411	10950
-67.63241	10823
-67.48054	10800
-67.32851	10534
-67.17631	10417
-67.02394	10484
-66.87142	10455
-66.71872	10345
-66.56586	10012
-66.41284	9960
-66.25965	9852
-66.10629	9838
-65.95277	9901
-65.79909	9937
-65.64523	9921
-65.49122	10054
-65.33703	10414
-65.18269	11035
-65.02817	11964
-64.87350	12738
-64.71865	13195
-64.56364	13527
-64.40847	13820
-64.25313	13978
-64.09763	14084
-63.94196	14281
-63.78612	14321
-63.63012	14421
-63.47396	14515
-63.31762	14598
-63.16113	14513
-63.00447	14445
-62.84764	14362
-62.69065	14312
-62.53349	14248
-62.37616	14215
-62.21868	14171
-62.06102	14193
-61.90320	14183
-61.74522	14241
-61.58707	14366
-61.42875	14453
-61.27027	14594
-61.11163	14689
-60.95282	14633
-60.79384	14643
-60.63470	14537
-60.47539	14490
-60.31592	14349
-60.15628	14275
-59.99648	14163
-59.83651	14199
-59.67637	14191
-59.51608	14121
-59.35561	14119
-59.19498	14247
-59.03419	14378
-58.87323	14498
-58.71210	14648
-58.55081	14923
-58.38935	14978
-58.22773	15178
-58.06594	15454
-57.90399	15608
-57.74187	15516
-57.57959	15627
-57.41714	15785
-57.25453	15594
-57.09175	15278
-56.92881	15023
-56.76570	14975
-56.60242	14836
-56.43898	14721
-56.27537	14579
-56.11160	14536
-55.94767	14392
-55.78357	14362
-55.61930	14235
-55.45487	14191
-55.29027	14139
-55.12551	13962
-54.96058	14147
-54.79548	14544
-54.63023	14766
-54.46480	14889
-54.29921	14688
-54.13346	14353
-53.96754	14130
-53.80145	13904
-53.63520	13632
-53.46878	13423
-53.30220	13193
-53.13546	12996
-52.96854	12869
-52.80147	12690
-52.63422	12405
-52.46682	12406
-52.29924	12497
-52.13150	12540
-51.96360	12334
-51.79553	12169
-51.62729	12074
-51.45889	12288
-51.29033	12462
-51.12160	12726
-50.95270	12839
-50.78364	12924
-50.61441	13046
-50.44502	13250
-50.27546	13352
-50.10574	13403
-49.93585	13589
-49.76580	13733
-49.59558	13911
-49.42520	14095
-49.25465	14132
-49.08393	14196
-48.91305	14134
-48.74201	14071
-48.57080	14120
-48.39942	14102
-48.22788	14176
-48.05617	14128
-47.88430	14137
-47.71226	14278
-47.54006	14366
-47.36769	14524
-47.19516	14672
-47.02246	14770
-46.84960	14777
-46.67657	14713
-46.50337	14622
-46.33001	14516
-46.15649	14481
-45.98280	14518
-45.80894	14563
-45.63492	14574
-45.46074	14554
-45.28638	14571
-45.11187	14598
-44.93718	14618
-44.76234	14647
-44.58732	14639
-44.41214	14617
-44.23680	14576
-44.06129	14545
-43.88562	14526
-43.70978	14499
-43.53377	14513
-43.35760	14357
-43.18127	14348
-43.00476	14389
-42.82810	14392
-42.65127	14371
-42.47427	14454
-42.29711	14468
-42.11978	14440
-41.94229	14534
-41.76463	14496
-41.58680	14401
-41.40882	14272
-41.23066	14122
-41.05234	13971
-40.87386	13915
-40.69521	13887
-40.51639	13846
-40.33741	13800
-40.15826	13856
-39.97895	13943
-39.79947	14100
-39.61983	14364
-39.44002	14460
-39.26005	14521
-39.07991	14508
-38.89961	14437
-38.71914	14172
-38.53851	14088
-38.35771	14050
-38.17674	13914
-37.99561	13646
-37.81432	13384
-37.63286	13255
-37.45123	13709
-37.26944	13939
-37.08748	13991
-36.90536	13792
-36.72307	13663
-36.54062	13645
-36.35800	13584
-36.17522	13608
-35.99227	13704
-35.80915	13761
-35.62587	13840
-35.44243	13937
-35.25882	14099
-35.07504	14090
-34.89110	14259
-34.70700	14418
-34.52273	14513
-34.33829	14565
-34.15369	14563
-33.96892	14441
-33.78399	14447
-33.59889	14412
-33.41362	14507
-33.22820	14556
-33.04260	14573
-32.85684	14572
-32.67092	14564
-32.48483	14597
-32.29857	14625
-32.11215	14585
-31.92557	14589
-31.73881	14587
-31.55190	14548
-31.36482	14559
-31.17757	14525
-30.99016	14628
-30.80258	14667
-30.61483	14628
-30.42693	14524
-30.23885	14564
-30.05061	14503
-29.86221	14519
-29.67364	14404
-29.48490	14384
-29.29600	14400
-29.10694	14394
-28.91771	14379
-28.72831	14388
-28.53875	14391
-28.34902	14373
-28.15913	14375
-27.96907	14287
-27.77885	14194
-27.58846	14260
-27.39790	14223
-27.20718	14171
-27.01630	14133
-26.82525	14096
-26.63404	14040
-26.44265	14018
-26.25111	13901
-26.05940	13826
-25.86752	13793
-25.67548	13645
-25.48327	13601
-25.29090	13555
-25.09836	13445
-24.90566	13568
-24.71279	13903
-24.51976	14094
-24.32656	14162
-24.13319	14197
-23.93966	14175
-23.74597	14400
-23.55211	14579
-23.35808	14608
-23.16389	14519
-22.96954	14326
-22.77501	14296
-22.58033	14217
-22.38547	14257
-22.19046	14282
-21.99527	14339
-21.79993	14442
-21.60441	14669
-21.40873	15444
-21.21289	16021
-21.01688	16083
-20.82070	16054
-20.62436	15727
-20.42786	15458
-20.23119	15527
-20.03435	15747
-19.83735	15696
-19.64018	15473
-19.44285	15191
-19.24535	15046
-19.04769	14958
-18.84986	14833
-18.65187	14806
-18.45371	14791
-18.25539	14749
-18.05690	14722
-17.85824	14699
-17.65942	14727
-17.46044	14786
-17.26128	14712
-17.06197	14750
-16.86249	14722
-16.66284	14766
-16.46303	14785
-16.26305	14773
-16.06291	14763
-15.86260	14815
-15.66213	14796
-15.46149	14780
-15.26068	14875
-15.05971	14950
-14.85858	14934
-14.65728	14983
-14.45581	14892
-14.25418	14845
-14.05239	14771
-13.85043	14793
-13.64830	14810
-13.44601	14742
-13.24355	14757
-13.04093	14734
-12.83814	14703
-12.63519	14674
-12.43207	14729
-12.22878	14599
-12.02533	14541
-11.82172	14517
-11.61794	14499
-11.41399	14458
-11.20988	14448
-11.00561	14427
-10.80117	14425
-10.59656	14382
-10.39179	14297
-10.18685	14270
-9.98175	14287
-9.77648	14204
-9.57105	14082
-9.36545	14025
-9.15968	14018
-8.95376	14335
-8.74766	14613
-8.54140	14732
-8.33498	14594
-8.12839	14225
-7.92163	14143
-7.71471	14172
-7.50762	14174
-7.30037	13934
-7.09295	13813
-6.88537	13833
-6.67762	14075
-6.46971	14351
-6.26163	14491
-6.05339	14377
-5.84498	14277
-5.63640	14301
-5.42766	14443
-5.21876	14585
-5.00969	14634
-4.80045	14828
-4.59105	15509
-4.38149	16025
-4.17175	16221
-3.96186	16246
-3.75179	16218
-3.54157	16087
-3.33117	15913
-3.12062	15790
-2.90989	15617
-2.69900	15359
-2.48795	15222
-2.27673	15150
-2.06534	15085
-1.85379	15051
-1.64208	15015
-1.43020	15035
-1.21815	15038
-1.00594	15000
-0.79356	14919
-0.58102	14863
-0.36831	14813
-0.15544	14796
0.05760	14769
0.27080	14734
0.48417	14728
0.69770	14686
0.91140	14685
1.12527	14763
1.33930	14815
1.55349	14865
1.76786	14853
1.98238	14745
2.19707	14701
2.41193	14732
2.62695	14674
2.84214	14632
3.05749	14602
3.27301	14584
3.48869	14602
3.70454	14548
3.92056	14544
4.13674	14614
4.35308	14540
4.56959	14581
4.78627	14514
5.00311	14466
5.22011	14489
5.43728	14481
5.65462	14550
5.87212	14637
6.08979	14656
6.30762	14619
6.52562	14462
6.74379	14399
6.96211	14247
7.18061	14228
7.39927	14225
7.61809	14104
7.83708	14159
8.05624	14194
8.27556	14128
8.49504	14075
8.71469	14037
8.93451	14136
9.15449	14201
9.37464	14200
9.59495	14178
9.81543	14189
10.03607	14277
10.25688	14466
10.47786	14564
10.69900	14553
10.92030	14524
11.14177	14599
11.36341	14709
11.58521	14890
11.80717	15006
12.02930	15079
12.25160	15026
12.47406	14995
12.69669	14935
12.91948	15000
13.14244	15037
13.36556	15092
13.58885	15121
13.81230	15176
14.03592	15314
14.25971	15629
14.48366	16230
14.70777	16554
14.93205	16575
15.15650	16575
15.38111	16575
15.60589	16575
15.83083	16575
16.05594	16575
16.28121	16575
16.50665	16575
16.73225	16575
16.95802	16575
17.18395	16575
17.41005	16575
17.63631	16575
17.86274	16575
18.08934	16471
18.31610	16406
18.54302	16323
18.77012	16120
18.99737	15861
19.22479	15498
19.45238	15224
19.68013	15091
19.90805	15076
20.13613	14998
20.36438	14936
20.59279	14874
20.82137	14630
21.05012	14209
21.27903	13975
21.50810	14037
21.73734	13980
21.96675	13842
22.19632	13597
22.42606	13365
22.65596	12980
22.88602	12753
23.11626	12684
23.34665	12647
23.57722	12674
23.80794	12673
24.03884	12667
24.26990	12656
24.50112	12680
24.73251	12782
24.96406	12913
25.19578	12906
25.42767	12879
25.65972	12949
25.89194	13087
26.12432	13323
26.35687	13751
26.58958	14743
26.82245	15930
27.05550	16264
27.28871	16336
27.52208	16345
27.75562	16485
27.98932	16527
28.22319	16542
28.45723	16534
28.69143	16531
28.92579	16554
29.16032	16508
29.39502	16476
29.62988	16470
29.86491	16445
30.10010	16430
30.33545	16395
30.57098	16405
30.80667	16421
31.04252	16378
31.27854	16291
31.51472	16175
31.75107	16139
31.98758	16004
32.22426	15914
32.46111	15772
32.69812	15698
32.93530	15661
33.17264	15640
33.41014	15601
33.64782	15551
33.88565	15406
34.12366	15282
34.36182	15137
34.60016	14946
34.83866	14732
35.07732	14518
35.31615	14354
35.55514	14171
35.79430	13982
36.03363	13851
36.27312	13635
36.51277	13452
36.75259	13332
36.99258	13184
37.23273	12960
37.47305	12810
37.71353	12692
37.95418	12507
38.19499	12336
38.43597	12291
38.67712	12176
38.91842	12047
39.15990	12001
39.40154	11883
39.64334	11745
39.88531	11749
40.12745	11838
40.36975	11862
40.61222	11805
40.85485	11837
41.09765	11879
41.34061	11954
41.58374	11986
41.82703	12023
42.07049	12101
42.31411	12408
42.55790	12808
42.80185	13055
43.04597	13208
43.29026	13466
43.53471	13779
43.77932	14163
44.02410	14398
44.26905	14445
44.51416	14547
44.75944	14689
45.00488	14887
45.25049	15011
45.49626	15257
45.74220	15606
45.98830	15746
46.23457	15750
46.48101	15682
46.72761	15608
46.97437	15577
47.22130	15473
47.46840	15278
47.71566	15028
47.96308	14730
48.21067	14486
48.45843	14276
48.70635	14037
48.95444	13854
49.20269	13715
49.45111	13583
49.69970	13528
49.94844	13491
50.19736	13448
50.44644	13442
50.69568	13473
50.94509	13500
51.19467	13680
51.44441	13746
51.69431	13696
51.94439	13502
52.19462	13367
52.44502	13260
52.69559	13153
52.94632	13002
53.19722	12734
53.44829	12584
53.69951	12385
53.95091	12212
54.20247	12074
54.45419	11972
54.70608	11904
54.95814	11786
55.21036	11623
55.46274	11625
55.71529	11618
55.96801	11588
56.22089	11539
56.47394	11537
56.72715	11564
56.98053	11694
57.23407	11886
57.48778	12284
57.74166	12898
57.99570	13406
58.24990	13593
58.50427	13638
58.75880	13813
59.01351	14002
59.26837	14263
59.52340	14461
59.77860	14769
60.03396	14969
60.28949	14888
60.54518	14678
60.80104	14640
61.05706	14860
61.31325	15081
61.56960	15166
61.82612	15209
62.08281	15404
62.33966	15612
62.59667	15632
62.85385	15635
63.11120	15775
63.36871	16043
63.62638	16284
63.88423	16269
64.14223	16286
64.40041	16268
64.65874	16272
64.91725	16283
65.17591	16438
65.43475	16550
65.69375	16569
65.95291	16517
66.21224	16412
66.47174	16251
66.73140	15974
66.99122	15691
67.25121	15498
67.51137	15059
67.77169	14491
68.03218	13784
68.29283	13510
68.55365	13226
68.81463	12980
69.07578	12774
69.33709	12474
69.59857	12187
69.86022	11928
70.12202	11701
70.38400	11600
70.64614	11640
70.90844	11751
71.17092	11875
71.43355	11963
71.69635	12122
71.95932	12346
72.22245	12529
72.48575	12842
72.74921	13402
73.01284	14156
73.27663	14844
73.54059	15214
73.80472	15380
74.06901	15468
74.33346	15607
74.59808	15819
74.86287	16044
75.12782	16107
75.39293	16044
75.65821	15955
75.92366	15878
76.18927	15954
76.45505	16322
76.72099	16575
76.98710	16573
77.25337	16557
77.51981	16573
77.78642	16522
78.05319	16565
78.32012	16575
78.58722	16575
78.85449	16575
79.12192	16575
79.38951	16575
79.65727	16575
79.92520	16575
80.19329	16560
80.46155	16518
80.72997	16417
80.99856	16303
81.26731	16037
81.53623	15822
81.80532	15599
82.07457	14976
82.34398	14735
82.61356	14710
82.88330	14478
83.15322	14062
83.42329	13545
83.69353	13162
83.96394	12713
84.23451	12226
84.50525	11638
84.77615	11174
85.04722	10625
85.31845	10268
85.58985	10101
85.86141	10077
86.13314	10267
86.40504	10305
86.67710	10354
86.94932	10464
87.22171	10662
87.49427	10655
87.76699	10537
88.03988	10471
88.31293	10280
88.58614	10084
88.85953	9941
89.13307	9940
89.40679	10042
89.68067	10348
89.95471	11068
90.22892	11896
90.50329	12379
90.77783	12541
91.05254	12560
91.32741	12761
91.60244	13324
91.87764	14575
92.15301	15729
92.42854	16095
92.70424	16041
92.98010	15904
93.25613	15588
93.53232	15278
93.80868	14896
94.08520	14552
94.36189	14134
94.63875	13675
94.91577	13297
95.19295	12928
95.47030	12471
95.74782	12061
96.02550	11870
96.30334	11887
96.58135	12017
96.85953	11948
97.13787	11682
97.41638	11255
97.69505	10807
97.97389	10480
98.25290	10172
98.53206	9833
98.81140	9515
99.09090	9201
99.37056	8892
99.65039	8678
99.93039	8492
100.21055	8462
100.49087	8464
100.77137	8628
101.05202	8794
101.33285	8871
101.61383	8820
101.89499	8726
102.17630	8864
102.45779	9000
102.73944	9084
103.02125	9044
103.30323	9020
103.58537	9028
103.86768	9177
104.15016	9397
104.43280	9859
104.71561	10895
104.99858	12425
105.28171	13451
105.56501	13732
105.84848	13866
106.13211	14161
106.41591	15525
106.69988	16312
106.98400	16575
107.26830	16575
107.55276	16575
107.83738	16575
108.12217	16575
108.40713	16575
108.69225	16575
108.97753	16575
109.26298	16575
109.54860	16575
109.83438	16575
110.12033	16575
110.40644	16575
110.69272	16575
110.97916	16575
111.26577	16575
111.55255	16575
111.83949	16575
112.12659	16575
