MZ	Intensity
-114.77627	679
-114.68988	691
-114.60331	686
-114.51658	693
-114.42969	693
-114.34263	692
-114.25540	690
-114.16801	693
-114.08046	694
-113.99274	690
-113.90485	694
-113.81680	688
-113.72858	682
-113.64020	695
-113.55165	681
-113.46294	686
-113.37406	667
-113.28502	689
-113.19581	675
-113.10644	661
-113.01690	678
-112.92719	662
-112.83732	672
-112.74729	653
-112.65709	664
-112.56672	641
-112.47619	653
-112.38549	642
-112.29463	650
-112.20360	627
-112.11241	627
-112.02105	635
-111.92953	632
-111.83784	627
-111.74599	618
-111.65397	636
-111.56178	637
-111.46943	632
-111.37692	657
-111.28424	651
-111.19139	664
-111.09838	686
-111.00520	693
-110.91186	704
-110.81835	734
-110.72468	721
-110.63084	726
-110.53684	724
-110.44267	744
-110.34834	780
-110.25384	831
-110.15917	848
-110.06434	894
-109.96935	931
-109.87419	1012
-109.77886	1077
-109.68337	1274
-109.58772	1297
-109.49189	1337
-109.39591	1465
-109.29975	1531
-109.20344	1846
-109.10695	2406
-109.01030	3370
-108.91349	4533
-108.81651	5936
-108.71937	7160
-108.62206	8081
-108.52458	8612
-108.42694	9039
-108.32914	9047
-108.23117	8652
-108.13303	8317
-108.03473	7801
-107.93626	7199
-107.83763	6545
-107.73883	5883
-107.63987	5359
-107.54074	4937
-107.44144	4433
-107.34199	4098
-107.24236	3860
-107.14257	3367
-107.04262	3124
-106.94250	2943
-106.84221	2776
-106.74176	2566
-106.64114	2433
-106.54036	2188
-106.43942	2170
-106.33830	2109
-106.23703	2021
-106.13558	1975
-106.03397	1921
-105.93220	1907
-105.83026	2152
-105.72816	2444
-105.62589	2585
-105.52345	3593
-105.42085	6219
-105.31809	8159
-105.21516	8257
-105.11206	7853
-105.00880	7242
-104.90537	6464
-104.80178	5681
-104.69802	4988
-104.59410	4194
-104.49001	3446
-104.38576	3027
-104.28134	2705
-104.17676	2528
-104.07201	2539
-103.96709	2593
-103.86201	2601
-103.75677	2498
-103.65135	2422
-103.54578	2351
-103.44004	2296
-103.33413	2157
-103.22806	2139
-103.12182	2025
-103.01542	1983
-102.90885	1850
-102.80212	1827
-102.69522	1818
-102.58815	1836
-102.48093	1780
-102.37353	1743
-102.26597	1759
-102.15825	1717
-102.05035	1704
-101.94230	1654
-101.83408	1625
-101.72569	1593
-101.61714	1563
-101.50842	1548
-101.39954	1522
-101.29049	1483
-101.18128	1457
-101.07190	1459
-100.96236	1433
-100.85265	1439
-100.74277	1416
-100.63273	1402
-100.52253	1374
-100.41216	1375
-100.30162	1383
-100.19092	1375
-100.08005	1393
-99.96902	1365
-99.85782	1369
-99.74646	1377
-99.63493	1363
-99.52324	1423
-99.41138	1792
-99.29936	2246
-99.18717	2211
-99.07481	1848
-98.96229	1750
-98.84961	1821
-98.73676	1974
-98.62374	2090
-98.51056	2263
-98.39722	2332
-98.28370	2418
-98.17003	2593
-98.05618	2728
-97.94218	2870
-97.82800	3070
-97.71366	3220
