MZ	Intensity
-114.86251	729
-114.77627	729
-114.68988	728
-114.60331	733
-114.51658	724
-114.42969	743
-114.34263	732
-114.25540	738
-114.16801	725
-114.08046	731
-113.99274	731
-113.90485	732
-113.81680	741
-113.72858	723
-113.64020	732
-113.55165	721
-113.46294	723
-113.37406	715
-113.28502	717
-113.19581	711
-113.10644	708
-113.01690	716
-112.92719	705
-112.83732	698
-112.74729	700
-112.65709	698
-112.56672	687
-112.47619	685
-112.38549	699
-112.29463	695
-112.20360	675
-112.11241	671
-112.02105	664
-111.92953	686
-111.83784	675
-111.74599	674
-111.65397	684
-111.56178	700
-111.46943	686
-111.37692	701
-111.28424	694
-111.19139	713
-111.09838	721
-111.00520	748
-110.91186	752
-110.81835	749
-110.72468	789
-110.63084	792
-110.53684	766
-110.44267	784
-110.34834	849
-110.25384	860
-110.15917	906
-110.06434	962
-109.96935	1026
-109.87419	1093
-109.77886	1166
-109.68337	1160
-109.58772	1262
-109.49189	1338
-109.39591	1457
-109.29975	1606
-109.20344	1987
-109.10695	2684
-109.01030	3674
-108.91349	5028
-108.81651	6314
-108.71937	7701
-108.62206	8491
-108.52458	9041
-108.42694	9204
-108.32914	9105
-108.23117	8660
-108.13303	8061
-108.03473	7407
-107.93626	6648
-107.83763	5897
-107.73883	5190
-107.63987	4763
-107.54074	4297
-107.44144	3933
-107.34199	3600
-107.24236	3478
-107.14257	3237
-107.04262	2927
-106.94250	2759
-106.84221	2571
-106.74176	2314
-106.64114	2179
-106.54036	2131
-106.43942	2018
-106.33830	1931
-106.23703	1892
-106.13558	1871
-106.03397	1878
-105.93220	1895
-105.83026	2264
-105.72816	2570
-105.62589	2942
-105.52345	4999
-105.42085	8552
-105.31809	10421
-105.21516	10368
-105.11206	9523
-105.00880	8689
-104.90537	7753
-104.80178	6633
-104.69802	5450
-104.59410	4653
-104.49001	3857
-104.38576	3350
-104.28134	2941
-104.17676	2794
-104.07201	2862
-103.96709	2940
-103.86201	2928
-103.75677	2859
-103.65135	2783
-103.54578	2573
-103.44004	2421
-103.33413	2369
-103.22806	2279
-103.12182	2145
-103.01542	2079
-102.90885	2005
-102.80212	1938
-102.69522	1927
-102.58815	1901
-102.48093	1917
-102.37353	1876
-102.26597	1819
-102.15825	1781
-102.05035	1743
-101.94230	1716
-101.83408	1676
-101.72569	1657
-101.61714	1616
-101.50842	1610
-101.39954	1600
-101.29049	1575
-101.18128	1550
-101.07190	1525
-100.96236	1534
-100.85265	1517
-100.74277	1498
-100.63273	1487
-100.52253	1484
-100.41216	1478
-100.30162	1465
-100.19092	1439
-100.08005	1446
-99.96902	1468
-99.85782	1518
-99.74646	1531
-99.63493	1494
-99.52324	1681
-99.41138	2587
-99.29936	3458
-99.18717	3189
-99.07481	2667
-98.96229	2485
-98.84961	2664
-98.73676	2948
-98.62374	3258
-98.51056	3411
-98.39722	3621
-98.28370	3866
-98.17003	4124
-98.05618	4376
-97.94218	4729
-97.82800	4964
-97.71366	5298
-97.59916	5542
-97.48449	5684
-97.36966	5872
-97.25466	6075
-97.13949	6254
-97.02416	6266
-96.90867	6460
-96.79301	6412
-96.67718	6310
-96.56119	6188
-96.44503	6211
-96.32871	6074
-96.21222	5992
-96.09557	5854
-95.97875	5635
-95.86177	5479
-95.74462	5337
-95.62730	5089
-95.50982	4927
-95.39218	4789
-95.27437	4650
-95.15639	4391
-95.03825	4221
-94.91995	4086
-94.80147	4102
-94.68284	4057
-94.56404	4155
-94.44507	4152
-94.32594	4339
-94.20664	4543
-94.08717	4883
-93.96754	5198
-93.84775	5533
-93.72779	5858
-93.60767	6165
-93.48738	6633
-93.36692	7222
-93.24630	7875
-93.12551	8537
-93.00456	9281
-92.88345	9944
-92.76216	10299
-92.64072	10332
-92.51910	10254
-92.39733	10106
-92.27538	9931
-92.15327	9641
-92.03100	9162
-91.90856	8657
-91.78596	8096
-91.66319	7657
-91.54025	7437
-91.41715	7515
-91.29388	7773
-91.17045	8482
-91.04686	9360
-90.92309	10019
-90.79917	10514
-90.67507	11192
-90.55082	11954
-90.42639	12649
-90.30180	12919
-90.17705	13426
-90.05213	14125
-89.92705	14264
-89.80180	14016
-89.67638	13654
-89.55080	13407
-89.42505	13032
-89.29914	12566
-89.17307	12223
-89.04682	11902
-88.92042	12360
-88.79384	13701
-88.66711	14576
-88.54020	14927
-88.41314	14796
-88.28590	14299
-88.15850	13649
-88.03094	13049
-87.90321	12278
-87.77531	11662
-87.64725	10901
-87.51903	10068
-87.39064	9675
-87.26208	8949
-87.13336	8165
-87.00447	7744
-86.87542	7409
-86.74620	6971
-86.61682	6524
-86.48727	6120
-86.35755	5955
-86.22768	6092
-86.09763	6046
-85.96742	5946
-85.83705	5988
-85.70651	5977
-85.57580	5916
-85.44493	5813
-85.31389	5797
-85.18269	5699
-85.05132	5316
-84.91979	5408
