MZ	Intensity
-114.77627	685
-114.68988	697
-114.60331	712
-114.51658	695
-114.42969	694
-114.34263	702
-114.25540	700
-114.16801	705
-114.08046	697
-113.99274	696
-113.90485	695
-113.81680	690
-113.72858	689
-113.64020	690
-113.55165	702
-113.46294	685
-113.37406	689
-113.28502	678
-113.19581	689
-113.10644	667
-113.01690	680
-112.92719	655
-112.83732	649
-112.74729	663
-112.65709	645
-112.56672	650
-112.47619	639
-112.38549	647
-112.29463	626
-112.20360	640
-112.11241	618
-112.02105	629
-111.92953	616
-111.83784	622
-111.74599	626
-111.65397	624
-111.56178	636
-111.46943	634
-111.37692	653
-111.28424	646
-111.19139	660
-111.09838	675
-111.00520	678
-110.91186	681
-110.81835	673
-110.72468	691
-110.63084	691
-110.53684	699
-110.44267	706
-110.34834	744
-110.25384	779
-110.15917	777
-110.06434	836
-109.96935	848
-109.87419	939
-109.77886	996
-109.68337	1037
-109.58772	1060
-109.49189	1166
-109.39591	1248
-109.29975	1394
-109.20344	1703
-109.10695	2248
-109.01030	3183
-108.91349	4399
-108.81651	5758
-108.71937	7290
-108.62206	8252
-108.52458	8866
-108.42694	9051
-108.32914	8971
-108.23117	8517
-108.13303	7958
-108.03473	7209
-107.93626	6156
-107.83763	5206
-107.73883	4432
-107.63987	3891
-107.54074	3475
-107.44144	3180
-107.34199	2912
-107.24236	2709
-107.14257	2500
-107.04262	2249
-106.94250	2151
-106.84221	2018
-106.74176	1866
-106.64114	1725
-106.54036	1680
-106.43942	1596
-106.33830	1592
-106.23703	1530
-106.13558	1506
-106.03397	1466
-105.93220	1502
-105.83026	1761
-105.72816	1975
-105.62589	2128
-105.52345	3328
-105.42085	5998
-105.31809	7750
-105.21516	7597
-105.11206	6971
-105.00880	6282
-104.90537	5320
-104.80178	4374
-104.69802	3661
-104.59410	3039
-104.49001	2605
-104.38576	2292
-104.28134	2059
-104.17676	2056
-104.07201	2084
-103.96709	2206
-103.86201	2213
-103.75677	2212
-103.65135	2087
-103.54578	1985
-103.44004	1918
-103.33413	1881
-103.22806	1790
-103.12182	1694
-103.01542	1665
-102.90885	1671
-102.80212	1625
-102.69522	1629
-102.58815	1610
-102.48093	1552
-102.37353	1521
-102.26597	1518
-102.15825	1528
-102.05035	1446
-101.94230	1489
-101.83408	1443
-101.72569	1440
-101.61714	1354
-101.50842	1327
-101.39954	1299
-101.29049	1284
-101.18128	1298
-101.07190	1264
-100.96236	1283
-100.85265	1256
-100.74277	1279
-100.63273	1257
-100.52253	1227
-100.41216	1254
-100.30162	1223
-100.19092	1250
-100.08005	1221
-99.96902	1244
-99.85782	1244
-99.74646	1221
-99.63493	1228
-99.52324	1273
-99.41138	1620
-99.29936	1921
-99.18717	1757
-99.07481	1559
-98.96229	1555
-98.84961	1664
-98.73676	1797
-98.62374	1897
-98.51056	1970
-98.39722	2065
-98.28370	2215
-98.17003	2336
-98.05618	2452
-97.94218	2586
-97.82800	2835
-97.71366	3123
-97.59916	3185
-97.48449	3351
-97.36966	3470
-97.25466	3646
-97.13949	3779
-97.02416	3923
-96.90867	3834
-96.79301	3867
-96.67718	3927
-96.56119	4052
-96.44503	3881
-96.32871	3783
-96.21222	3793
-96.09557	3713
-95.97875	3641
-95.86177	3560
-95.74462	3401
-95.62730	3284
-95.50982	3136
-95.39218	3004
-95.27437	3012
-95.15639	2882
-95.03825	2833
-94.91995	2773
-94.80147	2755
-94.68284	2691
-94.56404	2815
-94.44507	3071
-94.32594	3154
-94.20664	3401
-94.08717	3790
-93.96754	4091
-93.84775	4267
-93.72779	4611
-93.60767	4959
-93.48738	5305
-93.36692	5634
-93.24630	6275
-93.12551	7178
-93.00456	8197
-92.88345	9018
-92.76216	9600
-92.64072	9663
-92.51910	9603
-92.39733	9394
-92.27538	9009
-92.15327	8521
-92.03100	7901
-91.90856	7232
-91.78596	6720
-91.66319	6358
-91.54025	6098
-91.41715	5985
-91.29388	6129
-91.17045	6524
-91.04686	7297
-90.92309	8139
-90.79917	8590
-90.67507	9578
-90.55082	10827
-90.42639	11786
-90.30180	12191
-90.17705	12629
-90.05213	13081
-89.92705	13258
-89.80180	13060
-89.67638	12674
-89.55080	12215
-89.42505	11705
-89.29914	11112
-89.17307	10617
-89.04682	10430
-88.92042	10797
-88.79384	12074
-88.66711	13186
-88.54020	13393
-88.41314	13286
-88.28590	12799
-88.15850	12095
-88.03094	11326
-87.90321	10436
-87.77531	9663
-87.64725	9183
-87.51903	8635
-87.39064	8266
-87.26208	7672
-87.13336	6929
-87.00447	6494
-86.87542	5977
-86.74620	5747
-86.61682	5424
-86.48727	5223
-86.35755	4934
-86.22768	4948
-86.09763	4735
-85.96742	4733
-85.83705	4612
-85.70651	4621
-85.57580	4449
-85.44493	4382
-85.31389	4195
-85.18269	4039
-85.05132	3992
-84.91979	3854
-84.78809	3800
-84.65623	3740
-84.52420	3689
-84.39201	3756
-84.25965	3868
-84.12713	3907
-83.99444	3906
-83.86158	3837
-83.72856	3702
-83.59538	3571
-83.46203	3387
-83.32851	3238
-83.19483	3213
-83.06098	3166
-82.92697	3122
-82.79279	3164
-82.65845	3111
-82.52394	3065
-82.38927	3037
-82.25443	3000
-82.11942	2995
-81.98425	3012
-81.84892	3046
-81.71342	3045
-81.57775	3208
-81.44192	3269
-81.30593	3523
-81.16977	3687
-81.03344	3782
-80.89695	3847
-80.76029	3814
-80.62347	3781
-80.48648	3774
-80.34932	4280
-80.21201	5228
-80.07452	5829
-79.93687	6196
-79.79906	9856
-79.66108	13767
-79.52293	14965
-79.38462	14563
-79.24615	13383
-79.10750	12627
-78.96870	12676
-78.82973	12791
-78.69059	12612
-78.55129	12685
-78.41182	13069
-78.27218	13505
-78.13239	13931
-77.99242	14275
-77.85229	14503
-77.71200	14497
-77.57154	14412
-77.43091	14293
-77.29012	14227
-77.14917	14139
-77.00804	13979
-76.86676	13886
-76.72531	13830
-76.58369	13901
-76.44191	13972
-76.29996	13801
-76.15785	13699
-76.01557	13644
-75.87312	13418
-75.73051	13467
-75.58774	13482
-75.44480	13415
-75.30169	13477
-75.15842	13714
-75.01499	13789
-74.87139	13759
-74.72762	13454
-74.58369	13101
-74.43959	13014
-74.29533	13017
-74.15090	12946
-74.00631	12842
-73.86155	12811
-73.71663	12784
-73.57154	12911
-73.42628	13059
-73.28086	13084
-73.13528	13147
-72.98953	13170
-72.84361	13141
-72.69753	13096
-72.55128	13294
-72.40487	14256
-72.25830	15282
-72.11155	15307
-71.96465	14807
-71.81757	14389
-71.67033	14305
-71.52293	14268
-71.37536	14268
-71.22763	14221
-71.07973	14409
-70.93166	14461
-70.78343	14470
-70.63504	14378
-70.48648	14391
-70.33775	14375
-70.18886	14372
-70.03980	14120
-69.89058	14134
-69.74119	14081
-69.59164	13971
-69.44192	13824
-69.29204	13781
-69.14199	13670
-68.99177	13569
-68.84139	13444
-68.69085	13301
-68.54014	13121
-68.38926	12830
-68.23822	12443
-68.08702	12102
-67.93565	11932
-67.78411	11584
-67.63241	11265
-67.48054	11031
-67.32851	10740
-67.17631	10838
-67.02394	10755
-66.87142	10806
-66.71872	10749
-66.56586	10484
-66.41284	10383
-66.25965	10286
-66.10629	10108
-65.95277	9869
-65.79909	9743
-65.64523	9641
-65.49122	9663
-65.33703	10120
-65.18269	10679
-65.02817	11436
-64.87350	12211
-64.71865	12660
